chr	pos	count	prop
chr1	628645.5	82	0.00728306243893774
chr1	1234050.5	23	0.00204281019628741
chr1	1782260.5	21	0.00186517452704503
chr1	2028829.5	35	0.00310862421174172
chr1	2433299.5	56	0.00497379873878675
chr1	2920798	40	0.00355271338484768
chr1	3473203.5	78	0.00692779110045297
chr1	3848062.5	20	0.00177635669242384
chr1	4138444.5	47	0.00417443822719602
chr1	4439614.5	29	0.00257571720401457
chr1	5013173	132	0.0117239541699973
chr1	5620830.5	21	0.00186517452704503
chr1	5942247.5	18	0.00159872102318145
chr1	6517309	94	0.00834887645439204
chr1	6966311.5	26	0.00230926370015099
chr1	7346359	98	0.00870414779287681
chr1	7997772	173	0.0153654853894662
chr1	8394794	31	0.00275335287325695
chr1	8716119.5	74	0.0065725197619682
chr1	8997225	5	0.00044408917310596
chr1	9718069.5	117	0.0103916866506795
chr1	10730911.5	64	0.00568434141575628
chr1	11083312	21	0.00186517452704503
chr1	11489251.5	58	0.00515143440802913
chr1	12008922.5	107	0.00950350830446754
chr1	12432551.5	156	0.0138555822009059
chr1	12862139	147	0.0130562216893152
chr1	13448645.5	108	0.00959232613908873
chr1	13930492.5	2	0.000177635669242384
chr1	14080058.5	2	0.000177635669242384
chr1	14159812.5	0	0
chr1	14883509.5	14	0.00124344968469669
chr1	15618106	5	0.00044408917310596
chr1	15954865	22	0.00195399236166622
chr1	16462114.5	58	0.00515143440802913
chr1	16779554.5	46	0.00408562039257483
chr1	17008154.5	48	0.00426325606181721
chr1	17411351	67	0.00595079491961986
chr1	17874610	62	0.0055067057465139
chr1	18271512.5	17	0.00150990318856026
chr1	18657331	34	0.00301980637712053
chr1	19290360.5	118	0.0104805044853006
chr1	20233421.5	40	0.00355271338484768
chr1	20872893	35	0.00310862421174172
chr1	21113443.5	9	0.000799360511590727
chr1	21363479	43	0.00381916688871125
chr1	22151137	46	0.00408562039257483
chr1	22859116.5	29	0.00257571720401457
chr1	23178559.5	55	0.00488498090416556
chr1	23748330	53	0.00470734523492317
chr1	24462856.5	163	0.0144773070432543
